ID_Pinjaman,Gender,Menikah,Bergantung,Edukasi,Wiraswasta,GajiPeminjam,GajiCoapplicant,JumlahPinjaman,BungaPinjaman,RiwayatKredit,AreaRumah,StatusPinjaman
LP001002,Pria,T,0,Lulus,T,5849,0,,360,1,Kota,Y
LP001003,Pria,Y,1,Lulus,T,4583,1508,128,360,1,Desa,T
LP001005,Pria,Y,0,Lulus,Y,3000,0,66,360,1,Kota,Y
LP001006,Pria,Y,0,Tidak Lulus,T,2583,2358,120,360,1,Kota,Y
LP001008,Pria,T,0,Lulus,T,6000,0,141,360,1,Kota,Y
LP001011,Pria,Y,2,Lulus,Y,5417,4196,267,360,1,Kota,Y
LP001013,Pria,Y,0,Tidak Lulus,T,2333,1516,95,360,1,Kota,Y
LP001014,Pria,Y,3+,Lulus,T,3036,2504,158,360,0,Semikota,T
LP001018,Pria,Y,2,Lulus,T,4006,1526,168,360,1,Kota,Y
LP001020,Pria,Y,1,Lulus,T,12841,10968,349,360,1,Semikota,T
LP001024,Pria,Y,2,Lulus,T,3200,700,70,360,1,Kota,Y
LP001027,Pria,Y,2,Lulus,,2500,1840,109,360,1,Kota,Y
LP001028,Pria,Y,2,Lulus,T,3073,8106,200,360,1,Kota,Y
LP001029,Pria,T,0,Lulus,T,1853,2840,114,360,1,Desa,T
LP001030,Pria,Y,2,Lulus,T,1299,1086,17,120,1,Kota,Y
LP001032,Pria,T,0,Lulus,T,4950,0,125,360,1,Kota,Y
LP001034,Pria,T,1,Tidak Lulus,T,3596,0,100,240,,Kota,Y
LP001036,Wanita,T,0,Lulus,T,3510,0,76,360,0,Kota,T
LP001038,Pria,Y,0,Tidak Lulus,T,4887,0,133,360,1,Desa,T
LP001041,Pria,Y,0,Lulus,,2600,3500,115,,1,Kota,Y
LP001043,Pria,Y,0,Tidak Lulus,T,7660,0,104,360,0,Kota,T
LP001046,Pria,Y,1,Lulus,T,5955,5625,315,360,1,Kota,Y
LP001047,Pria,Y,0,Tidak Lulus,T,2600,1911,116,360,0,Semikota,T
LP001050,,Y,2,Tidak Lulus,T,3365,1917,112,360,0,Desa,T
LP001052,Pria,Y,1,Lulus,,3717,2925,151,360,,Semikota,T
LP001066,Pria,Y,0,Lulus,Y,9560,0,191,360,1,Semikota,Y
LP001068,Pria,Y,0,Lulus,T,2799,2253,122,360,1,Semikota,Y
LP001073,Pria,Y,2,Tidak Lulus,T,4226,1040,110,360,1,Kota,Y
LP001086,Pria,T,0,Tidak Lulus,T,1442,0,35,360,1,Kota,T
